** CONVERTED FROM /Users/nuhajabakhanji/Dropbox/SR Research PTB Demos/pursuit/DEMO.edf using edfapi 3.0 MacOS X Sep 19 2007 on Mon May  9 08:19:15 2011
** DATE: Mon May  9 08:18:51 2011
** TYPE: EDF_FILE BINARY EVENT SAMPLE TAGGED
** VERSION: EYELINK II 1
** SOURCE: EYELINK CL
** EYELINK II CL v4.56 Aug 18 2010
** CAMERA: EyeLink CL Version 1.4 Sensor=BI9
** SERIAL NUMBER: CL1-77T66
** CAMERA_CONFIG: 77T66140.SCD
** Recorded by EyelinkToolbox demo-experiment
**

MSG	1975645 DISPLAY_COORDS 0 0 1568 945
INPUT	2027351	120
MSG	2027371 TRIALID 1
INPUT	2027372	120
INPUT	2027631	120
MSG	2029751 DRIFTCORRECT R REPEATING due to large error
MSG	2030453 DRIFTCORRECT R RIGHT at 262,473  OFFSET 3489926.25 deg.  99999696.0,99999528.0 pix.
INPUT	2030832	120
MSG	2030886 RECCFG CR 1000 2 1 R
MSG	2030886 ELCLCFG MTABLER
MSG	2030886 GAZE_COORDS 0.00 0.00 1568.00 945.00
MSG	2030886 THRESHOLDS R 110 226
MSG	2030886 ELCL_PROC CENTROID (3)
MSG	2030886 ELCL_PCR_PARAM 5 3.0
START	2030887 	RIGHT	SAMPLES	EVENTS
PRESCALER	1
VPRESCALER	1
PUPIL	AREA
EVENTS	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
SAMPLES	GAZE	RIGHT	RATE	1000.00	TRACKING	CR	FILTER	2
MSG	2030887 !MODE RECORD CR 1000 2 1 R
INPUT	2030887	120
2030995	  745.1	  471.5	 1000.0	...
2030996	  745.1	  471.5	 1000.0	...
2030997	  745.1	  471.5	 1000.0	...
2030998	  745.1	  471.5	 1000.0	...
2030999	  745.1	  471.5	 1000.0	...
2031000	  745.1	  471.5	 1000.0	...
2031001	  745.1	  471.5	 1000.0	...
2031002	  745.1	  471.5	 1000.0	...
2031003	  745.1	  471.5	 1000.0	...
2031004	  745.1	  471.5	 1000.0	...
2031005	  745.1	  471.5	 1000.0	...
2031006	  745.1	  471.5	 1000.0	...
2031007	  745.1	  471.5	 1000.0	...
2031008	  745.1	  471.5	 1000.0	...
2031009	  745.1	  471.5	 1000.0	...
2031010	  745.1	  471.5	 1000.0	...
2031011	  745.1	  471.5	 1000.0	...
2031012	  745.1	  471.5	 1000.0	...
2031013	  745.1	  471.5	 1000.0	...
2031014	  745.1	  471.5	 1000.0	...
2031015	  745.1	  471.5	 1000.0	...
2031016	  745.1	  471.5	 1000.0	...
2031017	  745.1	  471.5	 1000.0	...
2031018	  745.1	  471.5	 1000.0	...
2031019	  745.1	  471.5	 1000.0	...
2031020	  745.1	  471.5	 1000.0	...
2031021	  745.1	  471.5	 1000.0	...
2031022	  745.1	  471.5	 1000.0	...
2031023	  745.1	  471.5	 1000.0	...
2031024	  745.1	  471.5	 1000.0	...
2031025	  745.1	  471.5	 1000.0	...
2031026	  745.1	  471.5	 1000.0	...
2031027	  745.1	  471.5	 1000.0	...
2031028	  745.1	  471.5	 1000.0	...
2031029	  745.1	  471.5	 1000.0	...
2031030	  745.1	  471.5	 1000.0	...
2031031	  745.1	  471.5	 1000.0	...
